Toastmasters-International-258,Irs501c3,27631,521182732,,DC
National-Association-Of-Workforce-Boards,Irs501c3,27648,521167468,,DC
University-Of-Dc-Foundation,Irs501c3,27667,521152624,,DC
Alumni-Association-Of-Central-High-School-Of-The-District-Of-Columbia,Irs501c3,27669,521157880,,DC
Washington-Bach-Consort,Irs501c3,27718,521107948,,DC
American-Council-For-Capital-Formation-Center-For-Policy-Resear,Irs501c3,27736,521091172,,DC
Kemet-Productions,Irs501c3,27739,521095204,,DC
American-Councils-For-International-Education-Actr-Accels,Irs501c3,27742,521067256,,DC
Tabernacle-Church-Of-Independent-Seventh-Day-Adventists,Irs501c3,27746,521069932,,DC
Association-For-The-Preservation-Of-Historic-Congressional-Cemetery,Irs501c3,27749,521071828,,DC
St-Mary-S-Court-Housing-Development-Corporation,Irs501c3,27773,521061448,,DC
Quota-International-Incorporated-Charitable-And-Educational-Foundat,Irs501c3,27779,521038600,,DC
Washington-Savoyards-Ltd-,Irs501c3,27781,521040016,,DC
The-Parkmont-School,Irs501c3,27796,520982560,,DC
The-Washington-Center-For-Internships-And-Academic-Seminars,Irs501c3,27804,521019820,,DC
Studio-Gallery-Association,Irs501c3,27810,520912528,,DC
Housing-Assistance-Council,Irs501c3,27816,520939288,,DC
Rosemountcenter,Irs501c3,27820,520954828,,DC
Center-For-Women-Policy-Studies,Irs501c3,27823,520962100,,DC
Dc-Special-Olympics,Irs501c3,27826,520967608,,DC
Anacostia-Economic-Development-Corporation,Irs501c3,27836,520897780,,DC
Center-For-Auto-Safety,Irs501c3,27838,520902868,,DC
Episcopal-Church-Home-Friendship,Irs501c3,27842,520907224,,DC
Edmund-Burke-School,Irs501c3,27856,520883668,,DC
Presidential-Classroom-For-Young-Americans,Irs501c3,27857,520885000,,DC
Japan-America-Society-Of-Washington,Irs501c3,27867,520782112,,DC
United-House-Of-Prayer-For-All-People-Of-The-Church-On-The-Rock,Irs501c3,27868,520783336,,DC
Georgetown-University-Alumni-Association-3,Irs501c3,28028,510253284,,DC
Georgetown-University-Alumni-Association-4,Irs501c3,28029,510253308,,DC
Institute-For-The-Study-Of-Man,Irs501c3,28640,510179208,,DC
Daughters-Of-The-American-Colonists-5,Irs501c3,29016,486116664,,DC
Research-Institute-For-Housing-America-Trust-Fund,Irs501c3,36497,366109824,,DC
Corporate-Council-On-Africa,Irs501c3,37018,363895800,,DC
Dreamsforkids,Irs501c3,37219,363781104,,DC
National-Osteoporosis-Foundation,Irs501c3,37833,363350532,,DC
American-Public-Human-Services-Association,Irs501c3,38343,362166948,,DC
National-Society-Of-The-Daughters-Of-The-American-Revolution-118,Irs501c3,38476,356042384,,DC
National-Society-Daughters-Of-The-American-Colonists-7,Irs501c3,41205,316086016,,DC
National-Society-Daughters-Of-The-American-Colonists-8,Irs501c3,41240,316056220,,DC
El-Cuenco-The-Vessel,Irs501c3,41418,311584180,,DC
Ocna,Irs501c3,41443,311581756,,DC
Cancer-Association-Of-South-Africa,Irs501c3,41674,311503948,,DC
Centronia,Irs501c3,43175,251689720,,DC
Transplant-Recipients-International-Organization-4,Irs501c3,43284,251569468,,DC
Biblical-Archaeology-Society,Irs501c3,44153,237416300,,DC
National-Society-Daughters-Of-The-American-Colonists-10,Irs501c3,44310,237393596,,DC
National-Governors-Association-Center-For-Best-Practices,Irs501c3,44333,237391796,,DC
Christian-Tabernacle-Church-Of-God,Irs501c3,44487,237372668,,DC
Whole-Truth-Church-Of-The-Lord-Jesus-Christ-Of-The-Apostolic-Fait,Irs501c3,44745,237336224,,DC
American-Health-Lawyers-Association,Irs501c3,44756,237333380,,DC
Womens-Institute-For-Freedom-Of-The-Press,Irs501c3,45109,237274004,,DC
Association-For-Professionals-In-Infection-Ctrl-And-Epidemiology,Irs501c3,45168,237256856,,DC
National-Society-Of-The-Children-Of-The-American-Revolution-3,Irs501c3,45240,237248876,,DC
Washington-Christian-Assembly-M-C,Irs501c3,45325,237230984,,DC
National-Indian-Health-Board,Irs501c3,45360,237226316,,DC
Ruhani-Satsang,Irs501c3,45428,237216212,,DC
House-Of-Imagene,Irs501c3,45455,237213416,,DC
Washington-Youth-Garden-Council,Irs501c3,45532,237209060,,DC
World-Council-Of-Synagogues,Irs501c3,45819,237162488,,DC
Mathematical-Association-Of-America,Irs501c3,45866,237155852,,DC
Chol-Chol-Foundation,Irs501c3,46119,237120872,,DC
Insulation-Industrys-National-Apprentice-And-Training-Fund,Irs501c3,46153,237116144,,DC
American-University-Of-Rome,Irs501c3,46219,237110060,,DC
Capitol-Hill-Restoration-Society,Irs501c3,46270,237104192,,DC
Daughters-Of-The-American-Colonists-6,Irs501c3,46762,237059900,,DC
International-Association-For-Volunteer-Effort,Irs501c3,46872,237049868,,DC
The-Columbian-Women-Of-The-George-Washington-University,Irs501c3,46906,237045248,,DC
Black-Leadership-And-Christs,Irs501c3,47093,237027272,,DC
National-Society-Of-The-Daughters-Of-The-American-Revolution-152,Irs501c3,47100,237027584,,DC
Institute-For-Asian-Democracy,Irs501c3,49306,223112740,,DC
Social-Investment-Forum-Foundation,Irs501c3,49511,222989704,,DC
Association-Of-Veterinarians-For-Animal-Rights,Irs501c3,49742,222768664,,DC
American-Electroplaters-Society,Irs501c3,50589,221520640,,DC
National-Society-Daughters-Of-The-American-Colonist,Irs501c3,50695,166100272,,DC
Andean-Information-Network,Irs501c3,50899,161467312,,DC
Kappa-Nu-Foundation,Irs501c3,51236,156022524,,DC
Royal-Society-Of-Medicine-Foundation,Irs501c3,51707,136214332,,DC
The-Catholic-Negro-American-Mission-Board,Irs501c3,51811,136150792,,DC
The-American-Hotel-And-Lodging-Educational-Foundation,Irs501c3,51880,136095316,,DC
Alicia-Patterson-Foundation,Irs501c3,51907,136092124,,DC
National-Society-Daughters-Of-The-American-Colonists-13,Irs501c3,51986,134098360,,DC
Society-For-Study-Of-Trans-And-Interp-Of-Natl-Assoc-Of-Judiciary-Interp,Irs501c3,52051,133957756,,DC
Earth-Day-Network,Irs501c3,52250,133798288,,DC
Interaction-American-Council-For-Voluntary-International-Action,Irs501c3,52770,133287064,,DC
The-Workshops-Foundation,Irs501c3,52836,133196536,,DC
Group-Of-Thirty,Irs501c3,53040,132966004,,DC
Eritrean-Development-Foundation,Irs501c3,53091,132888880,,DC
Aspira-Association,Irs501c3,53158,132627568,,DC
Robert-F-Kennedy-Memorial,Irs501c3,53170,132522784,,DC
National-Council-On-The-Aging,Irs501c3,53184,131932384,,DC
Paralyzed-Veterans-Of-America-1,Irs501c3,53189,131946868,,DC
International-Executive-Service,Irs501c3,53199,132503656,,DC
American-Public-Health-Association,Irs501c3,53243,131628688,,DC
Institute-Of-Current-World-Affairs,Irs501c3,53265,131621044,,DC
West-End-Library-Friends,Irs501c3,54654,061308108,,DC
Eno-Transportation-Foundation,Irs501c3,54954,060662124,,DC
National-Association-Of-Nutrition-And-Aging-Service-Programs,Irs501c3,56218,042639088,,DC
Council-Of-Independent-Colleges,Irs501c3,56864,016004776,,DC
National-Society-Daughters-Of-The-American-Colonists-14,Irs501c3,56892,012566464,,DC
Sufism-Reoriented,Irs501c3,59773,946078431,,DC
Wave,Irs501c3,60584,943046091,,DC
Toastmasters-International-464,Irs501c3,60805,942925947,,DC
National-Society-Daughters-Of-The-American-Colonists-15,Irs501c3,61677,936050795,,DC
National-Society-Of-The-Daughters-Of-The-American-Revolution-213,Irs501c3,61732,936027455,,DC
Commission-On-AccreditationClinical-Chemistry,Irs501c3,62473,930681551,,DC
National-Council-Of-Negro-Women-18,Irs501c3,62867,911917275,,DC
National-Society-Daughters-Of-The-American-Colonists-16,Irs501c3,63760,911347839,,DC
International-Biometric-Society,Irs501c3,64626,866053027,,DC
Daughters-Of-The-American-Colonists-7,Irs501c3,65573,846036227,,DC
American-Telemedicine-Association,Irs501c3,70074,742676503,,DC
National-Society-Daughters-Of-The-American-Colonists-17,Irs501c3,72183,720961067,,DC
Daughters-Of-The-American-Colonists-8,Irs501c3,73735,650183467,,DC
Daughters-Of-The-American-Colonists-9,Irs501c3,75292,616058091,,DC
Daughters-Of-The-American-Colonists-10,Irs501c3,75881,596153395,,DC
Daughters-Of-The-American-Colonists-11,Irs501c3,77116,591667087,,DC
Gethsemane-United-Holy-Church,Irs501c3,78194,581912355,,DC
Morning-Star-Institute,Irs501c3,78649,581699691,,DC
National-Society-Daughters-Of-The-American-Colonists-19,Irs501c3,79634,570800471,,DC
British-Morehead-Scholarship-Fund,Irs501c3,80174,561872575,,DC
Daughters-Of-The-American-Colonist,Irs501c3,81078,546144887,,DC
National-Society-Daughters-Of-The-American-Colonist-21,Irs501c3,81103,546076643,,DC
American-Friends-Of-The-Institute-Of-Economic-Affairs,Irs501c3,81184,541899539,,DC
Theseedfdn,Irs501c3,81219,541850819,,DC
Operation-Heartbeat,Irs501c3,81412,541721435,,DC
Independent-Womens-Forum,Irs501c3,81468,541670627,,DC
Council-For-A-Community-Of-Democracies,Irs501c3,81491,541666151,,DC
Marine-Technology-Society-1,Irs501c3,81630,541530143,,DC
